node_zero_based,X_m,Y_m,Z_m,COMAC_X,COMAC_Y,COMAC_Z,node_min_COMAC,energy_floor
0,-8.336,-17.092913958612904,-105.81646918606299,,,,,2.141275591599316e-13
1,-8.336,-17.0929139586129,-29.183530813936898,,,0.9998195237894107,0.9998195237894107,2.141275591599316e-13
2,-8.336,-16.127119864078097,-105.24757298778898,0.999997315219436,0.9996973156883052,0.999413192905329,0.999413192905329,2.141275591599316e-13
3,-8.336000000000002,-16.1271198640781,-28.6146346156628,0.9999628835699155,0.9991443111224431,0.9998773002930029,0.9991443111224431,2.141275591599316e-13
4,-8.336,-14.53323430000629,-107.32423573259814,0.9999867193323735,0.9997942731229851,0.9996917558724073,0.9996917558724073,2.141275591599316e-13
5,-8.336,-14.3200758620046,-30.816857276085102,0.9999974337068819,0.9990620451530058,0.9999581902648984,0.9990620451530058,2.141275591599316e-13
6,-8.336,-12.726190297932762,-108.3886659964721,0.9999497097655492,0.9998644562222067,0.999767873818594,0.999767873818594,2.141275591599316e-13
7,-8.336000000000002,-12.726190297932702,-31.755727624346303,0.9999903211287857,0.9987828719295082,0.9999889751587717,0.9987828719295082,2.141275591599316e-13
8,-8.336,-12.513031859931084,-103.11871246004104,0.9999207700418791,0.9995125238001403,0.9992265605189089,0.9992265605189089,2.141275591599316e-13
9,-8.33600000000001,-12.513031859931106,-26.485774087914713,0.9999535599817798,0.9984467133242858,0.999987994678465,0.9984467133242858,2.141275591599316e-13
10,-8.336,-10.919146295859104,-102.17984211177999,0.9999360990703023,0.9994627590165408,0.9991647246590635,0.9991647246590635,2.141275591599316e-13
11,-8.336,-10.9191462958591,-25.5469037396535,0.9999368632922422,0.9981694383195217,0.9999303490889634,0.9981694383195217,2.141275591599316e-13
12,-8.336,-10.705987857857503,-109.57865617595897,0.9999164712766414,0.9998946556104951,0.9998135039458514,0.9998135039458514,2.141275591599316e-13
13,-8.336,-10.7059878578575,-32.9457178038332,0.9999646020111912,0.9985131573190568,0.9999238027015067,0.9985131573190568,2.141275591599316e-13
14,-8.336,-9.310524288256177,-110.40064703722899,0.9999002281415138,0.9998852639735096,0.9998080458020557,0.9998080458020557,2.141275591599316e-13
15,-8.336,-9.310524288256168,-101.23229133489698,0.9999482767866186,0.9994723929708687,0.9991579732438337,0.9991579732438337,2.141275591599316e-13
16,-8.336,-9.31052428825619,-24.5993529627705,0.9999250085344651,0.9979978123378883,0.999793291817835,0.9979978123378883,2.141275591599316e-13
17,-8.336,-8.989695145484234,-35.0709448472531,0.9999327404249382,0.9984107460605175,0.999750453439571,0.9984107460605175,2.141275591599316e-13
18,-8.336,-8.568745437008007,-111.13546752651,0.999898770624542,0.9998494153313178,0.9997861856310545,0.9997861856310545,2.141275591599316e-13
19,-8.336,-8.568745437008038,-23.86453247349038,0.9999139016601093,0.9980071747094701,0.9997028722138559,0.9980071747094701,2.141275591599316e-13
20,-8.335999999999995,-8.482926297179732,-97.87051554069468,0.9999307992677631,0.9999191373496937,0.9992146365429339,0.9992146365429339,2.141275591599316e-13
21,-8.335999999999999,-8.092092775020351,-92.49761058463798,0.9999414648957241,0.9994763206743139,0.9992368056527133,0.9992368056527133,2.141275591599316e-13
22,-8.335999999999999,-8.092092775020351,-86.137610584638,0.999950281725559,0.9989978333461311,0.9992372997456614,0.9989978333461311,2.141275591599316e-13
23,-8.336000000000004,-8.092092775020351,-78.71761058463801,0.9999699898955275,0.9988096477657296,0.9992733863585431,0.9988096477657296,2.141275591599316e-13
24,-8.336,-8.09209277502036,-70.352610584638,0.9999925041866178,0.9987211885412489,0.9993450641873171,0.9987211885412489,2.141275591599316e-13
25,-8.336,-8.09209277502036,-63.992610584638,0.9999882739576615,0.9987024807989173,0.9994161873024588,0.9987024807989173,2.141275591599316e-13
26,-8.336,-8.09209277502036,-58.577610584638,0.9999694603035568,0.9986873151034424,0.9994773983463309,0.9986873151034424,2.141275591599316e-13
27,-8.336,-8.09209277502036,-50.21261058463801,0.9999455549018469,0.9986618145413997,0.9995589436139034,0.9986618145413997,2.141275591599316e-13
28,-8.336,-8.09209277502036,-41.732610584638,0.9999361562696822,0.9986056325919107,0.9996120565645256,0.9986056325919107,2.141275591599316e-13
29,-8.336,-7.34997818573109,-112.34280195832201,0.9998990574520735,0.9997799705560625,0.9997451383742832,0.9997451383742832,2.141275591599316e-13
30,-8.336,-7.243434126254979,-22.55165343389877,0.9999088775206684,0.9980593115944827,0.9995256245962171,0.9980593115944827,2.141275591599316e-13
31,-8.336,-6.024666874978031,-113.655680997913,0.9998992322596352,0.9997185503028907,0.9997066811426442,0.9997066811426442,2.141275591599316e-13
32,-8.336,-6.024666874978042,-21.34431900208669,0.9999107176051203,0.9980988045817915,0.9993745100462738,0.9980988045817915,2.141275591599316e-13
33,-8.336,-5.272321071848141,-114.400969314281,0.9998991287467417,0.999691510041923,0.9996893806374341,0.9996893806374341,2.141275591599316e-13
34,-8.336,-5.27232107184816,-20.5990306857192,0.9999135571332808,0.9981208086010414,0.9992938735135425,0.9981208086010414,2.141275591599316e-13
35,-8.336,-4.069989131117052,-116.12447173277292,0.9999007126531806,0.9996392484588259,0.9996649449158852,0.9996392484588259,2.141275591599316e-13
36,-8.336,-4.04604638751018,-67.50000000000001,0.9999929725581416,0.9987114725651249,0.9993988202625046,0.9987114725651249,2.141275591599316e-13
37,-8.336,-3.9937907436917572,-18.76630044039858,0.9999121611361381,0.9981762747231324,0.9991568520150624,0.9981762747231324,2.141275591599316e-13
38,-8.336,-3.25661797523893,-117.29041194179298,0.9999008128833295,0.9996092801202071,0.9996493808003846,0.9996092801202071,2.141275591599316e-13
39,-8.336,-2.8884544137981085,-16.6237681019201,0.9999120052072715,0.9982323983132569,0.9990242607905562,0.9982323983132569,2.141275591599316e-13
40,-8.336,-2.4747264620992246,-119.59643431211104,0.9999005439417574,0.999558314377872,0.999630847017893,0.999558314377872,2.141275591599316e-13
41,-8.336,-2.226,-135.0,,,0.999617475295611,0.999617475295611,2.141275591599316e-13
42,-8.336,-2.226,-125.44,0.9999005057935608,0.9995345094000413,0.9996212226059643,0.9995345094000413,2.141275591599316e-13
43,-8.336,-2.226,-14.34,0.9999100808968914,0.9983053789406618,0.9989470560632061,0.9983053789406618,2.141275591599316e-13
44,-8.336,-2.226,-7.17,0.9999089818013273,0.9983699867873886,0.9988900007156456,0.9983699867873886,2.141275591599316e-13
45,-8.336,-2.226,0.0,,,0.998866724441963,0.998866724441963,2.141275591599316e-13
46,-8.336,-1.1129999999999824,-131.41500000000002,0.9999011880051127,0.9995436352821397,0.9996228806434477,0.9995436352821397,2.141275591599316e-13
47,-8.336,-1.1130000000000004,-121.69000000000001,0.999901002728348,0.9995428308718435,0.9996233515449215,0.9995428308718435,2.141275591599316e-13
48,-8.336,-1.112999999999997,-13.310000000000002,0.9999087469982038,0.9983099396710655,0.9989938227804863,0.9983099396710655,2.141275591599316e-13
49,-8.336,-1.1129999999999947,-3.584999999999996,0.9999095807173406,0.9984361258119843,0.9989835830682592,0.9984361258119843,2.141275591599316e-13
50,-8.336,2.6484591469634303e-14,-135.0,0.999901695729646,0.9996948986015507,0.9996291988697681,0.9996291988697681,2.141275591599316e-13
51,-8.336,2.6484591469634303e-14,-127.83,0.9999013491647843,0.999534639902288,0.9996266639990571,0.999534639902288,2.141275591599316e-13
52,-8.336,2.2848999697380665e-14,-120.16734200000002,0.9999016686468153,0.9995540928598508,0.9996189089965555,0.9995540928598508,2.141275591599316e-13
